review_id,user_id,business_id,stars,useful,funny,cool,text,date
Ssy6lXyaK4rEc90N8FCPmg,yKblUwUkHKZP_u9qZYw5pg,COfcgObavX_qv7sDWNet9A,1.0,0,1,1,"Terribly long wait times. Their A/C must be on the fritz, not only was the wait time close to 3 hours, with the temp in the building possibly over 80 degrees it felt like a sweat shop. I feel for the people working, under those conditions even if you have a good disposition, by the time you get help it's hard to not be grouchy. 

...next time I'm paying a small fee to go down the road to AZ MV Express.",2014-06-26 22:54:22
qLsIKGtip5HGsz22dyA94A,OrKXONcsflIzIvijzLgc9Q,ZDdNEwBENLXBT3jjQD5STQ,2.0,0,1,0,"I got the Soon Du Bu with Seafood. My friend got the Dol Sot Bibimbop with beef. I went for lunch. The soup was good, but it wasn't very spicy at all. I'm not even sure I felt any burn. I'll admit I tend to eat spicier things than my friends, but I've had Korean that made me tear up a bit before...so I was disappointed. The seafood was just that...unnamed pile of stuff. It was all good, as was the tofu. The shrimps come whole...so head, legs, shell and such. I'm not even sure how you're supposed to eat that out of a soup so I took them out and cracked them open feeling quite the primitive in the process.

My friend's Bibimbop looked beautiful. The flavor however was a bit bland. It needed...something. Because the bowl was so hot, and probably also due to user error to a certain extent, the rice at the bottom burned together and created a bit of a crispy rice pancake which while good with some cuisine styles (think Indian and Arab), isn't terribly delicious with this type of rice. The whole bowl had a bit of a burnt taste to it. She wasn't too happy with it.

I may go back to try the tacos, but they're kind of expensive...the only thing that kept me from going in the first place was the $15 minimum for cards which is pretty absurd.",2016-03-03 17:33:57
uT2cgk6ZxwGFkNo-A1hxYw,CTFZnhYe6t2tLv_NLHiE-w,9pzwe-cXwcd--Vt4AnHsqg,2.0,0,0,0,"I never rent at this location, but I had the ""pleasure"" of dealing with this office because my mother's insurance provided her a car through here. On an early Saturday morning, my mother and I pull off to begin some errands the vehicle begins to make a rattling noise. We pull over get out and it sounds like someone is playing the Drumline soundtrack underneath the hood. At 11:46 I tell my mom, we need to take this vehicle back and get it switched. Now of course this location is closing at 12. We call just to see if the switch can take place at another location. *insert image of my rubbing my temples and nothing is improving* I speak with who will be an unnamed gentleman (after all this yelp is meant to vent not attack or put anyone on blast), and express the issue to him. He stated we have no cars here and we will need to call Cherry Hill. WE? As in me? Bitch I know you lying. If you don't call that other branch to confirm they have something cuz their vehicle sound like it's on the highway to the Upper Room. I gathered the impression that when it was my mother speaking he felt he could dismiss her in an effort to hang up and meet his 12p clock out time. Once I got on the phone with some base and ""I wish tf you would"", the tone changed. After being placed on hold, big surprise, cherry hill doesn't have any cars. I say, ""well I guess it's a good thing we didn't drive straight there, huh? I'll wait while you check other branches. Thank you."" Long story short we are finally told to go to the Burlington location where they were more than accommodating (good review to follow). I thanked him and asked the address of the office. He says, oh you just google enterprise Burlington........wow. Just wow.",2019-08-31 18:50:07
aWB_CEzS8vwkuI_r6VOVWw,uWYXUD7vcaFBTow825whHg,sTHLyUnp1NtLm0-gJ05v2A,1.0,2,0,1,"Simply awful.  The veal was cardboard, shrimp was overcooked the mash potatoes tasted like instant potatoes. One of the worst meals I have had in years.  Service was good and the martini well made though.",2016-04-16 02:34:17
dfhfcaduScgK5YgZg7KbeQ,jB9P3KKPENhK0a2U7wWcmg,O0CyCnSFr7cYK78nH2w25Q,1.0,2,1,1,"My BF and I decided to come here for dessert to cleanse our palate after eating at Chop Shop. The ice cream is very interesting and eclectic in its out way. The menu was a bit difficult to read. The creativity is there but it was confusing for customers like myself. Chris wanted a vanilla flavored ice cream but got confused with their menu and ordered the wrong thing but he ate it anyways. I tried their mint ice cream which was very minty than what I was expecting of being subtle. This felt like a burst of eucalyptus oil and mint leaves in one to confuse my taste buds. I ate half of my ice cream then decided it was enough. The decorations and the furniture is intriguing in its own way. One thing I did enjoy is the community involvement. They had a poster that was trying to raise money for Haiti. They also had framed artwork that was painted by different artists as well as children that being sold displayed and sold. It's just a different little ice cream spot, compared to the norm but it's nice to try new places and support local business.",2018-02-22 18:48:29
l2DMNwJZDQvIbwbeXcqPuQ,5i-cbBj2p2uoBDAVzh8nag,xWyxXUed__LK0b1XylGSrg,2.0,0,0,0,"Atmosphere was nice but their signature drinks that were $5 were horrible!! When we expressed our dislike the server was sweet and apologize but the manager never came to our table to apologize, in fact he argued with the server as to why? Food was ok but pricey.",2015-12-24 18:32:56
EwIfANO2OhVpSZrg-BH0eg,l6inI8Ucw822q9nZEFIvxA,cAx1ItLmeD10TLCwKG9KRw,1.0,0,0,0,"Absolutely worst rental car company!  I reserved a car online this morning 12/16/19 for my wife as we had to take different flights. All of  this was confirmed and I am a Gold Member with Hertz (whatever the hell that means...)!  I have left approx. 6 messages at the New Orleans Hertz location and no call backs at all!  My wife gets in at 545pm 12/16/19 and proceeds to the shuttle for Hertz. She is there for over an hour and they will not release the car to her!  They have all my personal information 2 credit cards info. And insurance and still will not release a rental car to her!!!  Manager gets testy with her!  So, while waiting for the shuttle to go back to airport, she get harassed 2 times in front of the Hertz Rental Store!! It's a 15 min ride from the airport!  

I have called several times today and have spoken with many people regarding reservations, who I can't even understand or after 10 minutes on the phone with them they transfer me to New Orleans Hertz..... And I get the leave a message again!!  Cancel my membership Hertz as YOU SUCK!  

Ace car rental however did an awesome Job in Denver, Colorado airport location!  Thursday thru Monday rental $87.41 total and the best pick up and drop off I have ever had while renting a car!  

The Enterprise and Hertz car rental companies equally suck together!",2019-12-17 01:51:06
LJ_kQ3T_6JUfRG_AM7AxjA,XbGPSlIibU8iTdJapp1hKw,bU-N5RsCA9GHrfQlQEt4Gw,1.0,3,1,0,"Pure idiots. TRASHHHH. My neighbors in Bradford Ridge NEVER put their trash inside the bin. They have all kind of huge bags sitting in the floor grills etc. They ALWAYS get their trash picked up regardless of not following the fucking rules! I had one small bag inside my bin with my trash bag and they left it in there. But my stank ass weed smoking loud ass neighbors however ALWAYS have their crap taken regardless if it's in a bin, sitting on the floor, OR EVEN IN A BAG! So happy I don't actually have to pay for this SORRY company. GET BETTER EMPLOYEES! TREAT ALL RESIDENTS THE SAME! IDIOTS!",2020-06-04 07:06:36
6uQDLx43IH9888GpkW4PHQ,nWMqEXkAxRu4GqoThdh2kA,aZ2s_4xvwDCVIvfwI2ctEw,1.0,1,0,0,"This place is terrible for an airport restaurant, been here for almost an hour waiting for a poboy which shouldn't take more than 15 minutes to cook, the place is half empty. Seen seen other tables wait just as long and the are barely getting their food, people who came after, getting their food before us.",2019-02-17 18:55:45
1BPC6xRNnA68wzZ7l-SumQ,VUToORnCau6dt6wJsrP7Vg,LqxwgpXvWMrAZV5W0u2x6g,1.0,1,0,0,"My extended family and friends, my mother's professional group, and my son's friends have celebrated on numerous occasions at Dawson's.  But no more.  Tonight our waitress suggested the Mustard Encrusted Chicken Breasts.  It arrived quickly, with a hard roll on the plate.  She came back and asked how I liked the meal...I had just started eating my vegetables so said it was ok.  But when I tried to eat the small flat 1 inch high disk of chicken, I had to saw & saw and then chew & chew & unceremoniously swallow it.  I really wanted some butter to soften the hard white flour roll to eat with my meal, but the waitress did not return till too late.  With each bite of the chicken 'briquette' I would inspect the remaining portion on my plate---I told my friend I saw no blood on it in the darkened restaurant.  He tasted my chicken and he was sure glad he ordered the fish N chips.  Finally I asked another waitress to get our waitress and I showed her by vigorously sawing back and forth 4X in one spot, how tough and rubbery the smaller 'circle' of chicken was, but that I had not seen any blood.  (Years ago I had tasted rubbery chicken at a KFC near my home--it was red inside and barely cooked.)  She said she would ask the chef about it;--turns out Dawson's has a new chicken breast supplier and these need to be tenderized.  Well, obviously my piece wasn't 'tenderized'.  She said the manager would discount my chicken dinner and I agreed.  The round disk I had attempted to eat came to the table hidden under a better-breaded larger and thinner piece that I had not tried, so I put it in my to-go box.   She discounted the chicken dinner a few dollars.  After she brought the discounted bill, our waitress snapped up my friend's to-go box with his fish in it, saying, ""You WON'T be wanting this!""  I said, ""That box is HIS!""  She dropped his and grabbed mine, saying, 'We can't discount it and let you take it.""  (Great--$10 for vegetables and a hard roll and chewing and chewing from the smaller (hidden) piece of poultry I was served--a dog's chicken chew toy!)  I said that I had intended to take it home and to cook it thoroughly to see if undercooking was the problem, before she came back with a revised bill of a few dollars off.  She said they couldn't discount it and also let me take it home to attempt to better cook it---though she saw the problem with sawing rigorously back and forth through the rubbery chicken just to get a single piece on the fork! NOT very appetizing to have to continually inspect what I attempted to eat!  I left a tip and went up to the cashier to pay for my non-meal.  It was there that I saw she had added a $5.37 ""gratuity"".  I said, ""What is this?"" and told her I had left a tip at the table.  So the young manager returned to the back of the restaurant to remove that charge.  I told them I had never had such a horrible dining experience and would not be back.  And I certainly will tell my family and friends, and my son so that he can inform his friends.  I have been served more professionally at fast food restaurants!  Will I eat again at Dawson's?  Would you?",2014-11-30 05:49:19
